"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"batt_HARWIN_S8201-46R";1;"CR1220";;;
2;"C1, C2, C3, C5, C6, C7, C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";7;"100nF";;;
3;"C8";"CP_Elec_6.3x9.9";1;"100uF";;;
4;"D1";"D_SMA";1;"B130";;;
5;"DISP1";"OLED_ENC3";1;"OLED_Encoder";;;
6;"J27";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch";;;
7;"M1";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"DYNAMIXEL_1";;;
8;"M2";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"DYNAMIXEL_2";;;
9;"Q1";"SOT-23";1;"DMG2305UX";;;
10;"R1, R2, R3, R4, R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"10k";;;
11;"U1";"RaspberryPi_Pico_SMD_HandSolder";1;"Pico_2";;;
12;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74LS126";;;
13;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"DS3232M";;;
